Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
2025/1/17,8:53:53,-2743914.027,4701307.199,3312897.307,5,13,7.0473,14.5237,6.9142,-5.741,9.3566,-5.2969,0,0,0.00301,0.07615,-0.07183,0.21483,0.63107,0.29511,-0.173,0.40333,-0.16212
2025/1/17,8:53:54,-2743914.499,4701305.738,3312896.503,5,13,7.0481,14.5265,6.9147,-5.744,9.3581,-5.2979,0,0,0.03377,0.10117,0.063,0.21485,0.63119,0.2951,-0.17308,0.40337,-0.16215
2025/1/17,8:53:55,-2743916.222,4701306.998,3312897.635,5,13,7.0488,14.5294,6.9151,-5.747,9.3596,-5.2989,0,0,-0.06675,0.0173,-0.01399,0.21487,0.6313,0.29509,-0.17317,0.4034,-0.16217
2025/1/17,8:53:56,-2743918.772,4701310.191,3312899.345,5,13,7.0496,14.5322,6.9155,-5.7499,9.3611,-5.2999,0,0,-0.18797,0.18235,0.14012,0.21489,0.63141,0.29508,-0.17325,0.40343,-0.1622
2025/1/17,8:53:57,-2743920.751,4701311.278,3312899.939,5,13,7.0503,14.535,6.916,-5.7529,9.3626,-5.301,0,0,0.07052,0.01354,-0.03998,0.21491,0.63152,0.29507,-0.17333,0.40347,-0.16222
2025/1/17,8:53:58,-2743923.081,4701312.025,3312901.025,5,13,7.0511,14.5379,6.9164,-5.7559,9.3641,-5.302,0,0,-0.00733,0.05092,0.07097,0.21493,0.63164,0.29506,-0.17342,0.4035,-0.16225
2025/1/17,8:53:59,-2743937.765,4701349.868,3312918.66,5,13,6.2386,13.0529,5.4453,-2.8107,7.7698,-3.4077,0,0,0.08764,-0.14602,-0.08257,0.20753,0.51366,0.20158,0.1271,0.28901,-0.01521
2025/1/17,8:54:00,-2743926.234,4701315.337,3312903.485,5,13,7.0525,14.5436,6.9172,-5.7618,9.3671,-5.304,0,0,0.0588,-0.05827,-0.01005,0.21497,0.63186,0.29504,-0.17358,0.40356,-0.1623
2025/1/17,8:54:02,-2743929.221,4701317.341,3312905.049,5,13,7.054,14.5493,6.9181,-5.7678,9.3701,-5.306,0,0,0.06569,-0.11866,-0.03864,0.21502,0.63209,0.29502,-0.17375,0.40363,-0.16236
2025/1/17,8:54:03,-2743931.52,4701316.346,3312905.444,5,13,7.0548,14.5522,6.9185,-5.7707,9.3716,-5.307,0,0,0.01342,-0.00445,-0.01368,0.21504,0.6322,0.29501,-0.17383,0.40366,-0.16238
2025/1/17,8:54:04,-2743932.14,4701316.891,3312905.384,5,13,7.0555,14.555,6.9189,-5.7737,9.3731,-5.308,0,0,-0.04902,-0.03085,0.00372,0.21506,0.63231,0.295,-0.17391,0.40369,-0.16241
2025/1/17,8:54:05,-2743932.021,4701314.76,3312904.739,5,13,7.0563,14.5579,6.9194,-5.7767,9.3746,-5.3091,0,0,0.0246,0.11373,-0.01469,0.21508,0.63243,0.29499,-0.174,0.40373,-0.16244
2025/1/17,8:54:06,-2743931.814,4701313.033,3312903.729,5,13,7.057,14.5607,6.9198,-5.7796,9.3761,-5.3101,0,0,0.12325,0.10465,-0.01058,0.2151,0.63254,0.29498,-0.17408,0.40376,-0.16246
2025/1/17,8:54:07,-2743930.919,4701313.891,3312904.467,5,13,7.0578,14.5636,6.9202,-5.7826,9.3777,-5.3111,0,0,-0.04072,-0.04897,-0.01449,0.21512,0.63265,0.29497,-0.17416,0.40379,-0.16249
2025/1/17,8:54:08,-2743928.194,4701311.145,3312902.358,5,13,7.0585,14.5665,6.9207,-5.7856,9.3792,-5.3121,0,0,0.04136,-0.28102,-0.18874,0.21514,0.63277,0.29496,-0.17424,0.40382,-0.16251
2025/1/17,8:54:09,-2743927.348,4701311.456,3312902.097,5,13,7.0593,14.5693,6.9211,-5.7885,9.3807,-5.3131,0,0,-0.21854,0.32429,0.15053,0.21516,0.63288,0.29494,-0.17433,0.40386,-0.16254
2025/1/17,8:54:10,-2743924.312,4701308.854,3312899.878,5,13,7.06,14.5722,6.9215,-5.7915,9.3822,-5.3141,0,0,-0.04937,-0.05217,0.00142,0.21518,0.63299,0.29493,-0.17441,0.40389,-0.16257
2025/1/17,8:54:11,-2743924.243,4701307.717,3312899.89,5,13,7.0608,14.575,6.9219,-5.7944,9.3837,-5.3151,0,0,0.0307,-0.26922,-0.11036,0.2152,0.63311,0.29492,-0.17449,0.40392,-0.16259
2025/1/17,8:54:12,-2743923.563,4701306.403,3312899.233,5,13,7.0615,14.5779,6.9224,-5.7974,9.3852,-5.3161,0,0,0.07015,0.03532,-0.04563,0.21522,0.63322,0.29491,-0.17458,0.40396,-0.16262
2025/1/17,8:54:13,-2743923.998,4701305.065,3312899.217,5,13,7.0623,14.5808,6.9228,-5.8004,9.3867,-5.3171,0,0,0.10267,0.04717,-0.07932,0.21525,0.63333,0.2949,-0.17466,0.40399,-0.16265
2025/1/17,8:54:14,-2743923.811,4701302.396,3312898.269,5,13,7.063,14.5836,6.9232,-5.8033,9.3882,-5.3181,0,0,-0.00495,0.32312,0.10745,0.21527,0.63345,0.29489,-0.17474,0.40402,-0.16267
2025/1/17,8:54:15,-2743924.011,4701293.497,3312895.201,5,13,7.0638,14.5865,6.9236,-5.8063,9.3897,-5.3192,0,0,0.1561,0.23462,0.05725,0.21529,0.63356,0.29488,-0.17482,0.40405,-0.1627
2025/1/17,8:54:16,-2743924.705,4701291.282,3312894.291,5,13,7.0645,14.5894,6.9241,-5.8092,9.3912,-5.3202,0,0,0.16004,0.00399,-0.07425,0.21531,0.63367,0.29487,-0.17491,0.40409,-0.16272
2025/1/17,8:54:17,-2743926.127,4701290.551,3312894.686,5,13,7.0653,14.5923,6.9245,-5.8122,9.3927,-5.3212,0,0,0.06144,-0.747,-0.27054,0.21533,0.63379,0.29486,-0.17499,0.40412,-0.16275
2025/1/17,8:54:18,-2743926.022,4701291.009,3312894.649,5,13,7.066,14.5951,6.9249,-5.8152,9.3942,-5.3222,0,0,0.10732,-0.16901,-0.08753,0.21535,0.6339,0.29485,-0.17507,0.40415,-0.16278
2025/1/17,8:54:19,-2743927.158,4701294.03,3312896.064,5,13,7.0667,14.598,6.9253,-5.8181,9.3958,-5.3232,0,0,0.10968,2.15379,0.75102,0.21537,0.63401,0.29484,-0.17516,0.40419,-0.1628
