Epoch,X,Y,Z,Score,NumBestPoints
2025/01/17 08:51:27.000,-2743882.107972428,4701330.824186435,3312893.46381692,11,20
2025/01/17 08:51:28.000,-2743878.852588282,4701325.8867280325,3312894.4003331643,10,35
2025/01/17 08:51:29.000,-2743878.246066324,4701323.524003706,3312893.9858617876,10,25
2025/01/17 08:51:33.000,-2743912.406103982,4701356.027623995,3312904.591267424,9,57
2025/01/17 08:51:34.000,-2743912.551633984,4701356.343825708,3312906.857368395,9,69
2025/01/17 08:51:35.000,-2743913.3669094327,4701355.898603547,3312906.893074327,9,73
2025/01/17 08:51:36.000,-2743913.380775212,4701356.779140327,3312906.0374399223,10,95
2025/01/17 08:51:37.000,-2743913.8422249723,4701358.86267935,3312907.347248704,10,99
2025/01/17 08:51:38.000,-2743913.776151853,4701357.935607906,3312905.9036519127,10,97
2025/01/17 08:51:39.000,-2743914.1170813288,4701358.605370098,3312905.9869801085,9,90
2025/01/17 08:51:40.000,-2743913.598479931,4701357.875100793,3312907.7766459193,9,82
2025/01/17 08:51:41.000,-2743913.1706683845,4701357.208240624,3312907.1001441507,9,83
2025/01/17 08:51:42.000,-2743913.748133866,4701359.031008484,3312908.5681999326,9,81
2025/01/17 08:51:43.000,-2743913.85554687,4701358.841051649,3312908.212795123,9,106
2025/01/17 08:51:44.000,-2743914.036944152,4701359.199250279,3312908.9366030116,9,107
2025/01/17 08:51:45.000,-2743913.8549410203,4701359.724412378,3312909.2141211363,9,78
2025/01/17 08:51:46.000,-2743914.265103427,4701359.1151434835,3312908.7168121194,9,106
2025/01/17 08:51:47.000,-2743913.934666049,4701358.495226838,3312908.471324238,9,108
2025/01/17 08:51:48.000,-2743916.799813765,4701366.66295593,3312916.0351341236,10,102
2025/01/17 08:51:49.000,-2743916.109029484,4701365.470316492,3312914.584994264,11,86
2025/01/17 08:51:50.000,-2743916.36068124,4701364.393881806,3312913.99516193,11,111
2025/01/17 08:51:52.000,-2743916.1957990364,4701364.47900606,3312913.4687417136,10,102
2025/01/17 08:51:53.000,-2743905.3796026465,4701337.648999127,3312903.7317499793,9,25
2025/01/17 08:51:54.000,-2743916.5396042145,4701365.735821874,3312913.324571414,10,102
2025/01/17 08:51:56.000,-2743916.5549217816,4701364.416413884,3312913.5291217696,11,109
2025/01/17 08:51:57.000,-2743915.967618482,4701364.559761935,3312912.509599458,10,89
2025/01/17 08:51:58.000,-2743915.953764086,4701364.963924673,3312912.7946465523,10,87
2025/01/17 08:51:59.000,-2743916.202494522,4701364.72664338,3312912.588560836,10,87
2025/01/17 08:52:00.000,-2743916.9605423813,4701366.269839008,3312914.3892298006,10,85
2025/01/17 08:52:01.000,-2743917.141600805,4701365.780891288,3312914.972566058,10,104
2025/01/17 08:52:02.000,-2743916.9684050106,4701366.641682839,3312914.643982514,10,101
